"","Year","Period","State","State.ANSI","Data.Item","Value"
"1456",2015,"JAN THRU MAR","MARYLAND",24,"LOSS, DEADOUT","4,100"
"1457",2015,"JAN THRU MAR","MASSACHUSETTS",25,"LOSS, DEADOUT","1,000"
"1458",2015,"JAN THRU MAR","MICHIGAN",26,"LOSS, DEADOUT","11,500"
"1459",2015,"JAN THRU MAR","MINNESOTA",27,"LOSS, DEADOUT","3,700"
"1460",2015,"JAN THRU MAR","MISSISSIPPI",28,"LOSS, DEADOUT","8,500"
"1461",2015,"JAN THRU MAR","MISSOURI",29,"LOSS, DEADOUT","2,000"
"1462",2015,"JAN THRU MAR","MONTANA",30,"LOSS, DEADOUT","2,200"
"1463",2015,"JAN THRU MAR","NEBRASKA",31,"LOSS, DEADOUT","2,600"
"1464",2015,"JAN THRU MAR","NEW JERSEY",34,"LOSS, DEADOUT","1,100"
"1465",2015,"JAN THRU MAR","NEW MEXICO",35,"LOSS, DEADOUT","690"
"1466",2015,"JAN THRU MAR","NEW YORK",36,"LOSS, DEADOUT","6,500"
"1467",2015,"JAN THRU MAR","NORTH CAROLINA",37,"LOSS, DEADOUT","7,000"
"1468",2015,"JAN THRU MAR","NORTH DAKOTA",38,"LOSS, DEADOUT","620"
"1469",2015,"JAN THRU MAR","OHIO",39,"LOSS, DEADOUT","10,500"
"1470",2015,"JAN THRU MAR","OKLAHOMA",40,"LOSS, DEADOUT","6,000"
"1471",2015,"JAN THRU MAR","OREGON",41,"LOSS, DEADOUT","6,500"
"1472",2015,"JAN THRU MAR","PENNSYLVANIA",42,"LOSS, DEADOUT","6,500"
"1473",2015,"JAN THRU MAR","SOUTH CAROLINA",45,"LOSS, DEADOUT","2,700"
"1474",2015,"JAN THRU MAR","SOUTH DAKOTA",46,"LOSS, DEADOUT","4,600"
"1475",2015,"JAN THRU MAR","TENNESSEE",47,"LOSS, DEADOUT","2,000"
"1476",2015,"JAN THRU MAR","TEXAS",48,"LOSS, DEADOUT","26,000"
"1477",2015,"JAN THRU MAR","UTAH",49,"LOSS, DEADOUT","3,300"
"1478",2015,"JAN THRU MAR","VERMONT",50,"LOSS, DEADOUT","700"
"1479",2015,"JAN THRU MAR","VIRGINIA",51,"LOSS, DEADOUT","2,500"
"1480",2015,"JAN THRU MAR","WASHINGTON",53,"LOSS, DEADOUT","14,000"
"1481",2015,"JAN THRU MAR","WEST VIRGINIA",54,"LOSS, DEADOUT","1,800"
"1482",2015,"JAN THRU MAR","WISCONSIN",55,"LOSS, DEADOUT","8,000"
"1483",2015,"JAN THRU MAR","WYOMING",56,"LOSS, DEADOUT","2,000"
"1484",2015,"APR THRU JUN","ALABAMA",1,"LOSS, DEADOUT","860"
"1485",2015,"APR THRU JUN","ARIZONA",4,"LOSS, DEADOUT","5,500"
"1486",2015,"APR THRU JUN","ARKANSAS",5,"LOSS, DEADOUT","1,900"
"1487",2015,"APR THRU JUN","CALIFORNIA",6,"LOSS, DEADOUT","104,000"
"1488",2015,"APR THRU JUN","COLORADO",8,"LOSS, DEADOUT","1,900"
"1489",2015,"APR THRU JUN","CONNECTICUT",9,"LOSS, DEADOUT","80"
"1490",2015,"APR THRU JUN","FLORIDA",12,"LOSS, DEADOUT","35,000"
"1491",2015,"APR THRU JUN","GEORGIA",13,"LOSS, DEADOUT","23,000"
"1492",2015,"APR THRU JUN","HAWAII",15,"LOSS, DEADOUT","120"
"1493",2015,"APR THRU JUN","IDAHO",16,"LOSS, DEADOUT","6,500"
"1494",2015,"APR THRU JUN","ILLINOIS",17,"LOSS, DEADOUT","1,300"
"1495",2015,"APR THRU JUN","INDIANA",18,"LOSS, DEADOUT","1,300"
"1496",2015,"APR THRU JUN","IOWA",19,"LOSS, DEADOUT","1,400"
"1497",2015,"APR THRU JUN","KANSAS",20,"LOSS, DEADOUT","670"
"1498",2015,"APR THRU JUN","KENTUCKY",21,"LOSS, DEADOUT","980"
"1499",2015,"APR THRU JUN","LOUISIANA",22,"LOSS, DEADOUT","1,800"
"1500",2015,"APR THRU JUN","MAINE",23,"LOSS, DEADOUT","3,200"
"1501",2015,"APR THRU JUN","MARYLAND",24,"LOSS, DEADOUT","370"
"1502",2015,"APR THRU JUN","MASSACHUSETTS",25,"LOSS, DEADOUT","320"
"1503",2015,"APR THRU JUN","MICHIGAN",26,"LOSS, DEADOUT","9,500"
"1504",2015,"APR THRU JUN","MINNESOTA",27,"LOSS, DEADOUT","12,500"
"1505",2015,"APR THRU JUN","MISSISSIPPI",28,"LOSS, DEADOUT","11,000"
"1506",2015,"APR THRU JUN","MISSOURI",29,"LOSS, DEADOUT","500"
"1507",2015,"APR THRU JUN","MONTANA",30,"LOSS, DEADOUT","4,200"
"1508",2015,"APR THRU JUN","NEBRASKA",31,"LOSS, DEADOUT","4,100"
"1509",2015,"APR THRU JUN","NEW JERSEY",34,"LOSS, DEADOUT","1,800"
"1510",2015,"APR THRU JUN","NEW MEXICO",35,"LOSS, DEADOUT","1,000"
"1511",2015,"APR THRU JUN","NEW YORK",36,"LOSS, DEADOUT","1,100"
"1512",2015,"APR THRU JUN","NORTH CAROLINA",37,"LOSS, DEADOUT","1,800"
"1513",2015,"APR THRU JUN","NORTH DAKOTA",38,"LOSS, DEADOUT","29,000"
"1514",2015,"APR THRU JUN","OHIO",39,"LOSS, DEADOUT","2,100"
"1515",2015,"APR THRU JUN","OKLAHOMA",40,"LOSS, DEADOUT","2,200"
"1516",2015,"APR THRU JUN","OREGON",41,"LOSS, DEADOUT","5,500"
"1517",2015,"APR THRU JUN","PENNSYLVANIA",42,"LOSS, DEADOUT","1,600"
"1518",2015,"APR THRU JUN","SOUTH CAROLINA",45,"LOSS, DEADOUT","950"
"1519",2015,"APR THRU JUN","SOUTH DAKOTA",46,"LOSS, DEADOUT","21,000"
"1520",2015,"APR THRU JUN","TENNESSEE",47,"LOSS, DEADOUT","730"
"1521",2015,"APR THRU JUN","TEXAS",48,"LOSS, DEADOUT","33,000"
"1522",2015,"APR THRU JUN","UTAH",49,"LOSS, DEADOUT","3,400"
"1523",2015,"APR THRU JUN","VERMONT",50,"LOSS, DEADOUT","100"
"1524",2015,"APR THRU JUN","VIRGINIA",51,"LOSS, DEADOUT","270"
"1525",2015,"APR THRU JUN","WASHINGTON",53,"LOSS, DEADOUT","5,000"
"1526",2015,"APR THRU JUN","WEST VIRGINIA",54,"LOSS, DEADOUT","570"
"1527",2015,"APR THRU JUN","WISCONSIN",55,"LOSS, DEADOUT","4,600"
"1528",2015,"APR THRU JUN","WYOMING",56,"LOSS, DEADOUT","3,200"
"1529",2015,"JUL THRU SEP","ALABAMA",1,"LOSS, DEADOUT","1,400"
